trait_x	trait_y	n	pearson_r	pearson_p	pgls_r	pgls_p	pgls_lambda	phylo_r_bm	phylo_p_bm
regi	hor	150	0.606	1.98e-16	0.659	2.2e-16	0.289	0.594	1.16e-15
regi	mono_len_bp	150	0.36	6.21e-06	0.36	6.21e-06	0	0.415	1.28e-07
regi	sat_gc	150	0.062	0.454	-0.008	0.921	0.817	0.07	0.392
regi	genome_gc	150	-0.001	0.992	-0.013	0.878	1	-0.013	0.878
regi	genome_mb	150	0.257	0.00148	0.098	0.231	0.805	0.145	0.077
regi	chr_n	150	0.299	0.000205	0.209	0.0103	0.701	0.209	0.0102
hor	mono_len_bp	150	0.246	0.00241	0.246	0.00241	0	0.295	0.000251
hor	sat_gc	150	0.055	0.502	-0.025	0.764	0.816	0.014	0.865
hor	genome_gc	150	0.026	0.752	-0.099	0.229	1	-0.099	0.229
hor	genome_mb	150	0.074	0.37	0.03	0.714	0.804	0.084	0.304
hor	chr_n	150	0.277	0.000611	0.206	0.0116	0.711	0.192	0.0187
mono_len_bp	sat_gc	173	0.25	0.000902	0.229	0.00246	0.866	0.175	0.0216
mono_len_bp	genome_gc	173	0.144	0.058	0.028	0.715	1	0.028	0.715
mono_len_bp	genome_mb	173	0.088	0.249	0.054	0.484	0.863	0.022	0.773
mono_len_bp	chr_n	173	0.023	0.767	-0.013	0.867	0.654	-0.085	0.268
sat_gc	genome_gc	173	0.578	7.77e-17	0.316	2.3e-05	1	0.316	2.3e-05
sat_gc	genome_mb	173	0.046	0.548	-0.125	0.102	0.879	-0.121	0.112
sat_gc	chr_n	173	0.202	0.0078	-0.029	0.706	0.661	-0.075	0.324
genome_gc	genome_mb	173	0.142	0.0619	0.125	0.1	0.874	0.211	0.00535
genome_gc	chr_n	173	0.271	0.000303	0.015	0.844	0.65	-0.043	0.573
genome_mb	chr_n	173	0.364	8.49e-07	0.182	0.0167	0.632	0.217	0.00415
